TREEID,TAG,START,END,LATIN,COMMON,SITE,LENGTH,WIDTH,SEX,HGT91,DBH91,CAN91
ACPE-01,PP022,,,ACER PENSYLVANICUM,STRIPED MAPLE,LORD,16,14,B,2.4,NA,S
ACPE-02,PP035,,,ACER PENSYLVANICUM,STRIPED MAPLE,LORD,21,18,U,6.1,5.84,S
ACPE-03,PP040,,,ACER PENSYLVANICUM,STRIPED MAPLE,SWED,20,20,U,2.3,NA,S
ACPE-04,PP067,,,ACER PENSYLVANICUM,STRIPED MAPLE,SSBN,13,14,U,3,NA,S
ACRU-01,PP008,,,ACER RUBRUM,RED MAPLE,LORD,9,8,M,NA,17.27,I
ACRU-02,PP033,,,ACER RUBRUM,RED MAPLE,LORD,12,13,M,NA,21.59,C
ACRU-03,PP063,,,ACER RUBRUM,RED MAPLE,CSRD,NA,NA,U,NA,11.18,C
ACRU-04,PP074,,,ACER RUBRUM,RED MAPLE,SSBN,13,15,U,NA,6.1,I
ACRU-05,PP106,,,ACER RUBRUM,RED MAPLE,SFLD,11,10,U,NA,25.4,C
ACSA-02,PP012,,,ACER SACCHARUM,SUGAR MAPLE,LORD,12,11,NA,NA,8.9,S
ACSA-02,PP095,,,ACER SACCHARUM,SUGAR MAPLE,PHRD,14,14,U,NA,2.29,S
ACSA-03,PP103,,,ACER SACCHARUM,SUGAR MAPLE,SFLD,11,15,U,NA,65.02,D
AMSP-01,PP003,,,AMELANCHIER SP,SHADBUSH,LORD,8.5,NA,P,NA,11.18,S
AMSP-02,PP011,,,AMELANCHIER SP,SHADBUSH,LORD,9,NA,P,NA,9.14,S
AMSP-03,PP056,,,AMELANCHIER SP,SHADBUSH,CSRD,7,NA,P,1.7,NA,S
AMSP-04,PP100,,,AMELANCHIER SP,SHADBUSH,SFLD,7,NA,P,1.8,NA,I
ARSP-01,PP062,,,ARONIA SP,CHOKEBERRY,CSRD,7,NA,P,NA,NA,S
ARSP-02,PP078,,,ARONIA SP,CHOKEBERRY,SSBN,6,NA,P,1.2,NA,S
ARSP-03,PP098,,,ARONIA SP,CHOKEBERRY,PHRD,7,NA,P,1.9,NA,S
BEAL-01,PP014,,,BETULA ALLEGHANIENSIS,YELLOW BIRCH,LORD,8.5,NA,B,NA,13.97,I
BEAL-02,PP042,,,BETULA ALLEGHANIENSIS,YELLOW BIRCH,SWED,9,NA,B,NA,11.43,I
BEAL-03,PP059,,,BETULA ALLEGHANIENSIS,YELLOW BIRCH,CSRD,9,NA,B,NA,5.08,I
BELE-01,PP013,,,BETULA LENTA,BLACK BIRCH,LORD,9,NA,B,NA,13.46,C
BELE-02,PP043,,,BETULA LENTA,BLACK BIRCH,SWED,9,NA,B,NA,6.86,S
BELE-03,PP079,,,BETULA LENTA,BLACK BIRCH,SSBN,9,NA,B,NA,10.67,C
BEPA-01,PP031,,,BETULA PAPYRIFERA,PAPER BIRCH,LORD,NA,NA,B,NA,15.75,C
BEPA-02,PP087,,,BETULA PAPYRIFERA,PAPER BIRCH,PHRD,NA,NA,B,NA,20.32,C
BEPA-03,PP088,,,BETULA PAPYRIFERA,PAPER BIRCH,PHRD,NA,NA,B,NA,8.38,S
BEPA-04,PP089,,,BETULA PAPYRIFERA,PAPER BIRCH,PHRD,NA,NA,B,NA,40.89,D
BEPO-01,PP027,,,BETULA POPULIFOLIA,GREY BIRCH,LORD,6,NA,B,NA,12.19,S
BEPO-02,PP058,,,BETULA POPULIFOLIA,GREY BIRCH,CSRD,NA,NA,B,NA,4.57,I
BEPO-03,PP070,,,BETULA POPULIFOLIA,GREY BIRCH,SSBN,7,NA,B,NA,1.52,S
BEPO-04,PP073,,,BETULA POPULIFOLIA,GREY BIRCH,SSBN,6,NA,B,NA,4.83,C
CADE-01,PP036,,,CASTANEA DENTATA,CHESTNUT,LORD,21,NA,B,NA,10.92,S
CADE-03,PP068,,,CASTANEA DENTATA,CHESTNUT,SSBN,22,NA,B,NA,5.08,S
CADE-04,PPO48,,,CASTANEA DENTATA,CHESTNUT,CSRD,17,NA,B,NA,4.32,S
COAL-01,PP010,,,CORNUS ALTERNIFLORA,ALTERNATE-LEAVED DOGWOOD,LORD,8,NA,P,1.7,NA,S
COAL-03,PP090,,,CORNUS ALTERNIFOLIA,ALTERNATE-LEAVED DOGWOOD,PHRD,8,NA,P,3,NA,S
COAL-04,PP15A,,,CORNUS ALTERNIFLORA,ALTERNATE-LEAVES DOGWOOD,LORD,8,NA,P,1.8,NA,S
CRSP-01,PP032,,,CRATAEGUS SP,HAWTHORNE,LORD,6,NA,P,2.4,NA,S
CRSP-02,PP085,,,CRATAEGUS SP,HAWTHORNE,PHRD,6,NA,P,NA,2.44,S
CRSP-03,PP078A,,,CRATAEGUS SP,HAWTHORNE,SSBN,6,NA,P,NA,NA,S
FAGR-01,PP020,,,FAGUS GRANDIFOLIA,BEECH,LORD,17,NA,B,NA,5.59,S
FAGR-02,PP039,,,FAGUS GRANDIFOLIA,BEECH,LORD,15,NA,B,NA,15.24,I
FAGR-03,PP046,,,FAGUS GRANDIFOLIA,BEECH,SWED,14,NA,B,NA,11.94,C
FAGR-04,PP092,,,FAGUS GRANDIFOLIA,BEECH,PHRD,16,NA,B,NA,13.97,I
FRAM-01,PP004,,,FRAXINUS AMERICANA,WHITE ASH,LORD,33,NA,NA,NA,12.97,I
FRAM-02,PP091,,,FRAXINUS AMERICANA,WHITE ASH,PHRD,NA,NA,NA,NA,8.64,I
FRAM-03,PP096,,,FRAXINUS AMERICANA,WHITE ASH,PHRD,32,NA,NA,NA,2.54,S
FRAM-04,PP108,,,FRAXINUS AMERICANA,WHITE ASH,SFLD,36,NA,NA,NA,14.98,I
FRAM-05,PP101,,,FRAXINUS AMERICANA,WHITE ASH,SFLD,31,NA,NA,NA,29.21,D
HAVI-01,PP041,,,HAMAMELIS VIRGINIA,WITCH HAZEL,SWED,13,NA,P,4.8,NA,S
HAVI-02,PP060,,,HAMAMELIS VIRGINIA,WITCH HAZEL,CSRD,10,NA,P,NA,4.57,S
HAVI-03,PP080,,,HAMAMELIS VIRGINIA,WITCH HAZEL,SSBN,12,NA,P,3,NA,S
ILVE-01,PP006,,,ILEX VERTICILLATA,WINTERBERRY,LORD,7.5,NA,NA,2.7,NA,S
ILVE-02,PP094,,,ILEX VERTICILLATA,WINTERBERRY,PHRD,5,NA,NA,2.4,NA,S
ILVE-03,PP018,,,ILEX VERTICILLATA,WINTERBERRY,LORD,6,NA,NA,1.7,NA,S
ILVE-04,PP053,,,ILEX VERTICILLATA,WINTERBERRY,CSRD,7,NA,NA,1.8,NA,S
KAAN-01,PP029,,,KALMIA ANGUSTIFOLIA,SHEEP LAUREL,LORD,5,NA,P,0.7,NA,S
KAAN-02,PPO51,,,KALMIA ANGUSTIFOLIA,SHEEP LAUREL,CSRD,6,NA,P,0.9,NA,S
KAAN-03,PP065,,,KALMIA ANGUSTIFOLIA,SHEEP LAUREL,SSBN,5,NA,P,0.9,NA,S
KALA-01,PP038,,,KALMIA LATIFOLIA,MOUNTAIN LAUREL,LORD,9,NA,P,1.8,NA,S
KALA-02,PPO49,,,KALMIA LATIFOLIA,MOUNTAIN LAUREL,CSRD,9,NA,P,2.4,NA,S
KALA-03,PP072,,,KALMIA LATIFOLIA,MOUNTAIN LAUREL,SSBN,8,NA,P,3,NA,S
LYLI-01,PP026,,,LYONIA LIGUSTINA,MALEBERRY,LORD,6,NA,P,1.1,NA,S
LYLI-02,PP025A,,,LYONIA LIGUSTINA,MALEBERRY,LORD,6,NA,P,NA,NA,S
LYLI-03,PP028,,,LYONIA LIGUSTINA,MALEBERRY,LORD,6,NA,P,2.1,NA,S
