DATE,OBS1,OBS2,TIME,WEATH,TEMP,SCOV,SDEP,STRM1,STRM2,STRM3,HICE,HWAT
1990-03-21,JOK,,AM,PC,4,0,0,NA,NA,NA,NA,NA
1990-03-23,JOK,,PM,CL,3,0,0,NA,NA,NA,NA,NA
1990-03-27,JOK,,,SU,3,0,0,NA,NA,NA,NA,NA
1990-04-02,JOK,,,CL,4,0,0,NA,NA,NA,NA,NA
1990-04-11,JOK,,PM,PC,3,0,0,NA,NA,NA,NA,NA
1990-04-23,JOK,,PM,SU,7,0,0,NA,NA,NA,33,NA
1990-04-28,JOK,,PM,SU,9,0,0,NA,NA,NA,0,NA
1990-05-01,JOK,,PM,CL,6,0,0,NA,NA,NA,NA,NA
1990-05-04,JOK,,PM,SU,6,0,0,NA,NA,NA,NA,NA
1990-05-07,JOK,,,CL,5,0,0,NA,NA,NA,NA,NA
1990-05-11,JOK,,AM,PC,4,0,0,NA,NA,NA,NA,NA
1990-05-14,JOK,,,SU,7,0,0,NA,NA,NA,NA,9
1990-05-18,JOK,,PM,CL,6,0,0,NA,NA,NA,NA,NA
1990-05-24,JOK,,PM,PC,6,0,0,NA,NA,NA,NA,NA
1990-05-30,JOK,SS,AM,PC,5,0,0,NA,NA,NA,NA,NA
1990-06-05,JOK,,NA,NA,6,0,0,NA,NA,NA,NA,NA
1990-06-08,JOK,,NA,PC,7,0,0,NA,NA,NA,NA,NA
1990-06-12,JOK,,NA,SU,7,0,0,NA,NA,NA,NA,NA
1990-06-18,JOK,,NA,PC,8,0,0,NA,NA,NA,NA,NA
1990-06-22,JOK,,NA,PC,8,0,NA,NA,NA,NA,NA,NA
1990-06-27,JOK,,NA,PC,8,0,NA,NA,NA,NA,NA,NA
1990-07-02,JOK,,NA,SU,7,0,NA,NA,NA,NA,NA,NA
1990-07-09,JOK,,PM,CL,8,0,NA,NA,NA,NA,NA,NA
1991-03-21,JOK,KK,AM,CL,4,1,NA,NA,NA,NA,100,NA
1991-03-28,JOK,KMK,AM,PC,4,0,NA,NA,NA,NA,90,NA
1991-04-02,KMK,,AM,SH,3,1,NA,NA,NA,NA,75,NA
1991-04-05,JOK,,NA,SU,6,0,NA,NA,NA,NA,45,NA
1991-04-09,KMK,,NA,PC,7,0,NA,NA,NA,NA,25,NA
1991-04-12,JOK,,NA,SU,5,0,NA,NA,NA,NA,0,NA
1991-04-16,KMK,,NA,SU,6,0,NA,NA,NA,NA,0,NA
1991-04-19,JOK,,NA,SU,6,0,NA,NA,NA,NA,0,NA
1991-04-22,KMK,,NA,SU,6,0,NA,NA,NA,NA,NA,NA
1991-04-26,JOK,,NA,SU,7,0,NA,NA,NA,NA,NA,NA
1991-05-02,KMK,,PM,PC,7,0,NA,NA,NA,NA,NA,NA
1991-05-07,KMK,,NA,CL,6,0,NA,NA,NA,NA,NA,NA
1991-05-10,JOK,,NA,PC,6,0,NA,NA,NA,NA,NA,NA
1991-05-13,KMK,,NA,SU,7,0,NA,NA,NA,NA,NA,NA
1991-05-17,KMK,,PM,SU,7,0,NA,NA,NA,NA,NA,NA
1991-05-20,KMK,,NA,SU,7,0,NA,NA,NA,NA,NA,NA
1991-05-23,KMK,,NA,SU,7,0,NA,NA,NA,NA,NA,NA
1991-05-28,KMK,,AM,CL,7,0,NA,NA,NA,NA,NA,100
1991-05-31,JOK,,NA,PC,8,0,NA,NA,NA,NA,NA,100
1991-06-04,KMK,,NA,--,7,0,NA,NA,NA,NA,NA,NA
