YEAR,SPECIES,BBMJD,BBMJD_FLAG,L75MJD,L75MJD_FLAG,L95MJD,L95MJD_FLAG,N
1990,ACPE,125,,155,,173,,4
1990,ACRU,123,y,155,,170,,5
1990,ACSA,123,,150,,168,,3
1990,AMSP,122,,157,y,169,,4
1990,ARSP,119,,158,,176,,1
1990,BEAL,125,,154,,174,,3
1990,BELE,123,,159,,175,,3
1990,BEPA,120,,146,,173,,3
1990,BEPO,126,,154,,175,,4
1990,CADE,128,,171,,179,,3
1990,CRSP,123,,165,,177,,2
1990,FAGR,130,,149,,168,,4
1990,FRAM,126,y,165,,177,,4
1990,HAVI,124,,162,,173,,3
1990,ILVE,129,,162,,174,,2
1990,KAAN,147,,172,,182,,3
1990,KALA,146,,171,,179,,3
1990,LYLI,130,,162,,176,,1
1990,NEMU,118,,155,,172,,1
1990,NYSY,139,,167,,178,,2
1990,PIST,164,,NA,y,NA,y,4
1990,POTR,120,,146,,154,,2
1990,PRSE,112,,157,y,172,,3
1990,QUAL,136,,162,,175,,3
1990,QURU,130,,157,,171,,4
1990,QUVE,135,,159,,170,,4
1990,RHSP,135,,162,,174,,3
1990,SAPU,60,,155,,175,,2
1990,TSCA,150,,170,,225,,3
1990,VACO,118,,156,y,173,,4
1990,VIAL,118,,152,,168,,3
1991,VICA,113,,160,y,173,,3
1991,ACPE,119,,150,,155,,4
1991,ACRU,121,,151,,151,,5
1991,ACSA,116,,137,,148,,3
1991,AMSP,117,,142,,150,,4
1991,ARSP,109,,146,,156,,3
1991,BEAL,120,,137,,159,,3
1991,BELE,126,,142,,158,,3
1991,BEPA,119,,137,,150,,4
1991,BEPO,122,,139,,152,,4
1991,CADE,125,,151,,162,y,3
1991,COAL,60,,140,,154,,3
1991,CRSP,118,,146,,152,,3
1991,FAGR,125,,138,,156,y,4
1991,FRAM,126,,145,,158,y,5
1991,HAVI,118,,143,,158,,3
1991,ILVE,120,,147,,163,y,4
1991,KAAN,139,,157,,170,y,3
1991,KALA,138,,163,,186,y,3
1991,LYLI,111,,148,,154,,3
1991,NEMU,117,,146,,154,y,3
1991,NYSY,111,,147,,161,,3
1991,PIST,154,y,184,,237,,4
1991,POTR,108,,131,,150,,3
1991,PRSE,97,,134,,153,,3
1991,QUAL,128,,149,,158,,3
1991,QURU,127,,143,,156,,4
1991,QUVE,130,y,145,,158,,4
1991,RHSP,130,,151,,171,y,3
1991,SAPU,89,,139,,156,,3
