DATE,TREEID,FOPEN,FPAST,LCOLOR,LFALL
8/30/1999,VACO-01,-99,-99,2,1
8/30/1999,PIST-01,-99,-99,0,0
8/30/1999,AMSP-01,-99,-99,0,0
8/30/1999,FRAM-01,-99,-99,3,1
8/30/1999,PRSE-01,-99,-99,1,0
8/30/1999,ILVE-01,-99,-99,0,0
8/30/1999,VICA-01,-99,-99,0,0
8/30/1999,ACRU-01,-99,-99,0,0
8/30/1999,SAPU-01,-99,-99,0,0
8/30/1999,COAL-01,-99,-99,0,0
8/30/1999,AMSP-02,-99,-99,3,0
8/30/1999,ACSA-01,-99,-99,0,0
8/30/1999,BELE-01,-99,-99,0,0
8/30/1999,SAPU-03,-99,-99,0,0
8/30/1999,BEAL-01,-99,-99,1,0
8/30/1999,COAL-04,-99,-99,0,0
8/30/1999,QURU-01,-99,-99,3,0
8/30/1999,VICA-02,-99,-99,0,0
8/30/1999,ILVE-03,-99,-99,0,0
8/30/1999,QUAL-04,-99,-99,0,0
8/30/1999,FAGR-01,-99,-99,0,0
8/30/1999,VIAL-01,-99,-99,0,0
8/30/1999,ACPE-01,-99,-99,0,0
8/30/1999,TSCA-01,-99,-99,0,0
8/30/1999,QUVE-01,-99,-99,0,0
8/30/1999,VACO-02,-99,-99,2,0
8/30/1999,LYLI-02,-99,-99,3,0
8/30/1999,LYLI-01,-99,-99,35,50
8/30/1999,BEPO-01,-99,-99,0,0
8/30/1999,LYLI-03,-99,-99,1,0
8/30/1999,KAAN-01,-99,-99,0,0
8/30/1999,PIST-02,-99,-99,0,0
8/30/1999,BEPA-01,-99,-99,3,0
8/30/1999,CRSP-01,-99,-99,1,0
8/30/1999,ACRU-02,-99,-99,3,1
8/30/1999,RHSP-01,-99,-99,0,0
8/30/1999,ACPE-02,-99,-99,0,0
8/30/1999,CADE-01,-99,-99,0,0
8/30/1999,NYSY-04,-99,-99,0,0
8/30/1999,KALA-01,-99,-99,2,0
8/30/1999,FAGR-02,-99,-99,0,0
8/30/1999,ACPE-03,-99,-99,0,0
8/30/1999,HAVI-01,-99,-99,2,0
8/30/1999,BEAL-02,-99,-99,0,0
8/30/1999,BELE-02,-99,-99,0,0
8/30/1999,VICA-03,-99,-99,0,0
8/30/1999,VIAL-02,-99,-99,0,0
8/30/1999,FAGR-03,-99,-99,0,0
8/30/1999,TSCA-04,-99,-99,0,0
8/30/1999,CADE-04,-99,-99,0,0
8/30/1999,KALA-02,-99,-99,5,0
8/30/1999,VACO-03,-99,-99,0,0
8/30/1999,KAAN-02,-99,-99,1,0
8/30/1999,NEMU-01,-99,-99,1,0
8/30/1999,ILVE-04,-99,-99,0,0
8/30/1999,NEMU-02,-99,-99,0,0
8/30/1999,RHSP-02,-99,-99,5,1
8/30/1999,AMSP-03,-99,-99,0,0
8/30/1999,NYSY-02,-99,-99,0,0
8/30/1999,BEPO-02,-99,-99,0,0
8/30/1999,BEAL-03,-99,-99,0,0
8/30/1999,NYSY-03,-99,-99,2,0
8/30/1999,HAVI-02,-99,-99,0,0
8/30/1999,QURU-02,-99,-99,0,0
8/30/1999,ARSP-01,-99,-99,0,0
8/30/1999,ACRU-03,-99,-99,0,0
8/30/1999,VIAL-03,-99,-99,0,0
8/30/1999,KAAN-03,-99,-99,3,0
