year;index;plus2sigma;minus2sigma
1702;118;128.492024734343;107.507975265657
1703;115;125.492024734343;104.507975265657
1704;113;123.492024734343;102.507975265657
1705;118;128.492024734343;107.507975265657
1706;112;122.492024734343;101.507975265657
1707;118;128.492024734343;107.507975265657
1708;118;128.492024734343;107.507975265657
1709;118;128.492024734343;107.507975265657
1710;119;129.492024734343;108.507975265657
1711;113;123.492024734343;102.507975265657
1712;119;129.492024734343;108.507975265657
1713;118;128.492024734343;107.507975265657
1714;117;127.492024734343;106.507975265657
1715;115;125.492024734343;104.507975265657
1716;117;127.492024734343;106.507975265657
1717;119;129.492024734343;108.507975265657
1718;114;124.492024734343;103.507975265657
1719;118;128.492024734343;107.507975265657
1720;116;126.492024734343;105.507975265657
1721;119;129.492024734343;108.507975265657
1722;111;121.492024734343;100.507975265657
1723;111;121.492024734343;100.507975265657
1724;118;128.492024734343;107.507975265657
1725;118;128.492024734343;107.507975265657
1726;122;132.492024734343;111.507975265657
1727;115;125.492024734343;104.507975265657
1728;111;121.492024734343;100.507975265657
1729;124;134.492024734343;113.507975265657
1730;119;129.492024734343;108.507975265657
1731;126;136.492024734343;115.507975265657
1732;113;123.492024734343;102.507975265657
1733;115;125.492024734343;104.507975265657
1734;111;121.492024734343;100.507975265657
1735;117;127.492024734343;106.507975265657
1736;112;122.492024734343;101.507975265657
1737;118;128.492024734343;107.507975265657
1738;114;124.492024734343;103.507975265657
1739;115;125.492024734343;104.507975265657
1740;118;128.492024734343;107.507975265657
1741;115;125.492024734343;104.507975265657
1742;121;131.492024734343;110.507975265657
1743;118;128.492024734343;107.507975265657
1744;119;129.492024734343;108.507975265657
1745;116;126.492024734343;105.507975265657
1746;118;128.492024734343;107.507975265657
1747;117;127.492024734343;106.507975265657
1748;122;132.492024734343;111.507975265657
1749;118;128.492024734343;107.507975265657
1750;113;123.492024734343;102.507975265657
1751;123;133.492024734343;112.507975265657
1752;121;131.492024734343;110.507975265657
1753;116;126.492024734343;105.507975265657
1754;122;132.492024734343;111.507975265657
1755;112;122.492024734343;101.507975265657
1756;115;125.492024734343;104.507975265657
1757;114;124.492024734343;103.507975265657
1758;111;121.492024734343;100.507975265657
1759;114;124.492024734343;103.507975265657
1760;110;120.492024734343;99.5079752656569
1761;119;129.492024734343;108.507975265657
1762;115;125.492024734343;104.507975265657
1763;115;125.492024734343;104.507975265657
1764;125;135.492024734343;114.507975265657
1765;116;126.492024734343;105.507975265657
1766;120;130.492024734343;109.507975265657
1767;124;134.492024734343;113.507975265657
1768;113;123.492024734343;102.507975265657
1769;121;131.492024734343;110.507975265657
1770;128;138.492024734343;117.507975265657
1771;124;134.492024734343;113.507975265657
1772;120;130.492024734343;109.507975265657
1773;115;125.492024734343;104.507975265657
1774;111;121.492024734343;100.507975265657
1775;120;130.492024734343;109.507975265657
1776;114;124.492024734343;103.507975265657
1777;116;126.492024734343;105.507975265657
1778;115;125.492024734343;104.507975265657
1779;109;119.492024734343;98.5079752656569
1780;120;130.492024734343;109.507975265657
1781;109;119.492024734343;98.5079752656569
1782;124;134.492024734343;113.507975265657
1783;113;123.492024734343;102.507975265657
1784;125;135.492024734343;114.507975265657
1785;125;135.492024734343;114.507975265657
1786;119;129.492024734343;108.507975265657
1787;117;127.492024734343;106.507975265657
1788;115;125.492024734343;104.507975265657
1789;121;131.492024734343;110.507975265657
1790;115;125.492024734343;104.507975265657
1791;112;122.492024734343;101.507975265657
1792;114;124.492024734343;103.507975265657
1793;119;129.492024734343;108.507975265657
1794;107;117.492024734343;96.5079752656569
1795;121;131.492024734343;110.507975265657
1796;121;131.492024734343;110.507975265657
1797;116;126.492024734343;105.507975265657
1798;113;123.492024734343;102.507975265657
1799;122;132.492024734343;111.507975265657
1800;115;125.492024734343;104.507975265657
1801;112;122.492024734343;101.507975265657
1802;118;128.492024734343;107.507975265657
1803;112;122.492024734343;101.507975265657
1804;118;128.492024734343;107.507975265657
1805;123;133.492024734343;112.507975265657
1806;121;131.492024734343;110.507975265657
1807;121;131.492024734343;110.507975265657
1808;125;135.492024734343;114.507975265657
1809;121;131.492024734343;110.507975265657
1810;117;127.492024734343;106.507975265657
1811;111;121.492024734343;100.507975265657
1812;121;131.492024734343;110.507975265657
1813;113;123.492024734343;102.507975265657
1814;119;129.492024734343;108.507975265657
1815;105;115.492024734343;94.5079752656569
1816;125;135.492024734343;114.507975265657
1817;130;140.492024734343;119.507975265657
1818;119;129.492024734343;108.507975265657
1819;113;123.492024734343;102.507975265657
1820;113;123.492024734343;102.507975265657
1821;119;129.492024734343;108.507975265657
1822;116;126.492024734343;105.507975265657
1823;124;134.492024734343;113.507975265657
1824;124;134.492024734343;113.507975265657
1825;118;128.492024734343;107.507975265657
1826;111;121.492024734343;100.507975265657
1827;119;129.492024734343;108.507975265657
1828;118;128.492024734343;107.507975265657
1829;121;131.492024734343;110.507975265657
1830;113;123.492024734343;102.507975265657
1831;119;129.492024734343;108.507975265657
1832;122;132.492024734343;111.507975265657
1833;121;131.492024734343;110.507975265657
1834;118;128.492024734343;107.507975265657
1835;119;129.492024734343;108.507975265657
1836;120;130.492024734343;109.507975265657
1837;124;134.492024734343;113.507975265657
1838;122;132.492024734343;111.507975265657
1839;120;130.492024734343;109.507975265657
1840;115;125.492024734343;104.507975265657
1841;112;122.492024734343;101.507975265657
1842;117;127.492024734343;106.507975265657
1843;117;127.492024734343;106.507975265657
1844;114;124.492024734343;103.507975265657
1845;126;136.492024734343;115.507975265657
1846;113;123.492024734343;102.507975265657
1847;123;133.492024734343;112.507975265657
1848;117;127.492024734343;106.507975265657
1849;125;135.492024734343;114.507975265657
1850;128;138.492024734343;117.507975265657
1851;120;130.492024734343;109.507975265657
1852;122;132.492024734343;111.507975265657
1853;130;140.492024734343;119.507975265657
1854;118;128.492024734343;107.507975265657
1855;121;131.492024734343;110.507975265657
1856;119;129.492024734343;108.507975265657
1857;120;130.492024734343;109.507975265657
1858;119;129.492024734343;108.507975265657
1859;116;126.492024734343;105.507975265657
1860;124;134.492024734343;113.507975265657
1861;118;128.492024734343;107.507975265657
1862;111;121.492024734343;100.507975265657
1863;117;127.492024734343;106.507975265657
1864;121;131.492024734343;110.507975265657
1865;117;127.492024734343;106.507975265657
1866;118;128.492024734343;107.507975265657
1867;117;127.492024734343;106.507975265657
1868;117;127.492024734343;106.507975265657
1869;114;124.492024734343;103.507975265657
1870;120;130.492024734343;109.507975265657
1871;117;127.492024734343;106.507975265657
1872;115;125.492024734343;104.507975265657
1873;118;128.492024734343;107.507975265657
1874;119;129.492024734343;108.507975265657
1875;118;128.492024734343;107.507975265657
1876;124;134.492024734343;113.507975265657
1877;124;134.492024734343;113.507975265657
1878;121;131.492024734343;110.507975265657
1879;131;141.492024734343;120.507975265657
