Year	SOS	SOS.filtered	SOS.filtered.minus2sigma SOS.filtered.plus2sigma	SOS.Anomaly
1702	118	NA	NA	NA	-0.74
1703	115	NA	NA	NA	-3.74
1704	113	NA	NA	NA	-5.74
1705	118	NA	NA	NA	-0.74
1706	112	NA	NA	NA	-6.74
1707	118	NA	NA	NA	-0.74
1708	118	NA	NA	NA	-0.74
1709	118	NA	NA	NA	-0.74
1710	119	116.85	113.22	120.49	0.26
1711	113	116.88	113.25	120.52	-5.74
1712	119	116.86	113.23	120.5	0.26
1713	118	116.82	113.18	120.45	-0.74
1714	117	116.68	113.05	120.32	-1.74
1715	114	116.54	112.9	120.17	-4.74
1716	117	116.36	112.73	120	-1.74
1717	118	116.16	112.53	119.8	-0.74
1718	114	115.95	112.32	119.59	-4.74
1719	118	115.69	112.05	119.32	-0.74
1720	116	115.4	111.77	119.04	-2.74
1721	118	115.16	111.52	118.79	-0.74
1722	110	114.97	111.33	118.6	-8.74
1723	110	114.91	111.28	118.54	-8.74
1724	117	114.94	111.3	118.57	-1.74
1725	116	115.04	111.4	118.67	-2.74
1726	119	115.18	111.54	118.81	0.26
1727	112	115.37	111.73	119	-6.74
1728	109	115.47	111.83	119.1	-9.74
1729	122	115.49	111.86	119.13	3.26
1730	117	115.34	111.71	118.98	-1.74
1731	123	115.07	111.44	118.71	4.26
1732	113	114.69	111.06	118.32	-5.74
1733	112	114.24	110.6	117.87	-6.74
1734	108	113.91	110.27	117.54	-10.74
1735	115	113.73	110.1	117.36	-3.74
1736	110	113.82	110.18	117.45	-8.74
1737	115	114.12	110.48	117.75	-3.74
1738	112	114.57	110.93	118.2	-6.74
1739	115	115.16	111.53	118.79	-3.74
1740	118	115.81	112.18	119.45	-0.74
1741	115	116.48	112.85	120.11	-3.74
1742	121	117.04	113.41	120.68	2.26
1743	118	117.57	113.94	121.21	-0.74
1744	119	118	114.37	121.64	0.26
1745	116	118.4	114.76	122.03	-2.74
1746	118	118.79	115.15	122.42	-0.74
1747	117	119.15	115.51	122.78	-1.74
1748	124	119.49	115.85	123.12	5.26
1749	120	119.75	116.12	123.39	1.26
1750	115	119.92	116.29	123.55	-3.74
1751	126	119.92	116.29	123.55	7.26
1752	123	119.73	116.09	123.36	4.26
1753	118	119.38	115.75	123.01	-0.74
1754	124	118.89	115.25	122.52	5.26
1755	114	118.3	114.66	121.93	-4.74
1756	118	117.79	114.15	121.42	-0.74
1757	116	117.33	113.69	120.96	-2.74
1758	114	117.07	113.44	120.71	-4.74
1759	117	117.07	113.43	120.7	-1.74
1760	112	117.17	113.53	120.8	-6.74
1761	121	117.46	113.83	121.1	2.26
1762	117	117.91	114.28	121.55	-1.74
1763	115	118.36	114.72	121.99	-3.74
1764	128	118.83	115.19	122.46	9.26
1765	116	119.19	115.55	122.82	-2.74
1766	119	119.46	115.83	123.1	0.26
