08:22:27   30.07.2012               Program Climap                   MeteoSwiss
Times in UTC 0040 (UTC)  =  01:40  Winter time  =  02:40  Summer time
Time period: 01.01.1960 00:00  -  31.12.2011 23:50 UTC 32767 -> missing value
number of stations  177
  1405	Disentis                1200 m a.s.l.	708000/ 173000
   511	Vals                    1250 m a.s.l.	734000/ 164000
   630	Andeer                   985 m a.s.l.	752000/ 163000
   980	Thusis                   700 m a.s.l.	753150/ 175100
   737	Davos-Dorf              1560 m a.s.l.	783000/ 187000
   180	Lenzerheide             1500 m a.s.l.	760000/ 176000
  1012	Domat / Ems              580 m a.s.l.	754000/ 189000
  1507	Arosa                   1900 m a.s.l.	770000/ 183000
   313	Chur                     640 m a.s.l.	760340/ 192940
   310	Zizers                   600 m a.s.l.	762000/ 200000
  1019	Jenaz                    800 m a.s.l.	773000/ 200000
   405	Schiers                  700 m a.s.l.	771000/ 204000
   404	Fanas                    910 m a.s.l.	769000/ 206000
   406	Grüsch                   650 m a.s.l.	768000/ 206000
   411	Seewis Dorf              960 m a.s.l.	766910/ 203920
  1029	Sargans II               480 m a.s.l.	752000/ 213000
   531	Azmoos                   480 m a.s.l.	755000/ 216000
  1623	Buchs                    450 m a.s.l.	754000/ 225000
   527	Eschen-Boja              580 m a.s.l.	757640/ 231875
  1048	Heiden                   800 m a.s.l.	750110/ 256960
  1598	Rorschach                450 m a.s.l.	755000/ 260000
   550	Romanshorn               405 m a.s.l.	745800/ 269900
    90	Diessenhofen             410 m a.s.l.	698000/ 283000
    94	Merishausen              540 m a.s.l.	688000/ 291000
   981	Neuhausen                435 m a.s.l.	688370/ 281920
  1062	Rafz                     515 m a.s.l.	683000/ 275000
   338	Hallau                   430 m a.s.l.	676480/ 283560
  1064	Osterfingen              410 m a.s.l.	679000/ 279000
  1066	Laufenburg               330 m a.s.l.	647000/ 268000
   982	Möhlin                   305 m a.s.l.	756620/ 209200
   562	Liestal                  350 m a.s.l.	622000/ 259000
  1068	Moutier                  530 m a.s.l.	596000/ 137000
   666	Bellelay                 930 m a.s.l.	579350/ 234970
   668	Les Rangiers             865 m a.s.l.	583170/ 247930
  10096	Bärschwil                486 m a.s.l.	602604/ 247824
  1643	Grellingen               350 m a.s.l.	612000/ 254500
   104	Dornach                  300 m a.s.l.	613000/ 259000
  1748	Therwil                  310 m a.s.l.	609000/ 261000
   983	Basel-Binningen          315 m a.s.l.	610820/ 266440
   116	Wildhaus                1100 m a.s.l.	745000/ 230000
  1076	Ennetbühl                900 m a.s.l.	734000/ 234000
   117	Wattwil, SG              625 m a.s.l.	726000/ 239000
  1474	Wil, SG                  600 m a.s.l.	722000/ 258000
   343	Flawil                   630 m a.s.l.	731570/ 253070
   352	Appenzell                775 m a.s.l.	749400/ 244230
